web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662114778-85663","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2714811","로키팬츠 브라운","[회원추천] (남자 170cm/63kg) 기준

                                적당함 브라운 0 Size 구매","5","","","50개 미만","68","59,000원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662114998-87466","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2550318","[패키지] 유니섹스 원턱 와이드 밴딩 팬츠 패키지 ISP028","[회원추천] (남자 175cm/62kg) 기준

                                적당함 네이비 M Size 구매","4.8","","","1.9천 개 이상","2,688","137,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115028-88440","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2534798","나일론 원턱 팬츠_블랙","[회원추천] (남자 175cm/77kg) 기준

                                적당함 L Size 구매","4.8","","","2.6천 개 이상","7,202","62,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114885-86560","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/1526223","SA6247 아이스 쿨링 팬츠 블랙","[회원추천] (여자 167cm/56kg) 기준

                                적당함 6247_M Size 구매","4.8","","","200개 이상","473","40,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662114844-86370","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2548076","유니섹스 원턱 와이드 밴딩 팬츠 IRB062 네이비","[회원추천] (남자 168cm/70kg) 기준

                                적당함 M Size 구매","4.8","","","700개 이상","771","69,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114899-86761","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2559278","알앤 와이드 뒷밴딩 원턱 팬츠 - 샌드","[회원추천] (남자 180cm/70kg) 기준

                                적당함 샌드 2 size Size 구매","4.9","","","400개 이상","1,029","63,000원","","","","","","","24~28세
,
남성
에게 인기 많은 상품","남"
"1662114899-86703","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2559278","알앤 와이드 뒷밴딩 원턱 팬츠 - 샌드","[회원추천] (남자 180cm/70kg) 기준

                                적당함 샌드 2 size Size 구매","4.9","","","400개 이상","1,029","63,000원","","","","","","","24~28세
,
남성
에게 인기 많은 상품","남"
"1662115025-88391","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2712580","로키팬츠 차콜","[회원추천] (남자 170cm/65kg) 기준

                                적당함 차콜 1 Size 구매","4.9","","","500개 이상","822","59,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115008-87788","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2579032","아이스 와이드 팬츠[블랙]","[회원추천] (남자 180cm/75kg) 기준

                                작음 M Size 구매","4.7","","","1.1천 개 이상","1,726","39,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114965-87211","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2742446","레더 벨티드 고어드 팬츠 (블랙)","","null","","","","87","165,000원","","","","","","","","남"
"1662115008-87820","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2579032","아이스 와이드 팬츠[블랙]","[회원추천] (남자 169cm/68kg) 기준

                                적당함 M Size 구매","4.7","","","1.1천 개 이상","1,726","39,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114809-85928","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/1283634","플리츠 팬츠_네이비(EN2ASMPA10A)","[회원추천] (남자 179cm/72kg) 기준

                                적당함 네이비 2 Size 구매","4.8","","","200개 이상","859","69,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114822-86036","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2476691","세러데이 린넨 파자마 팬츠 [차콜]","[회원추천] (남자 177cm/77kg) 기준

                                적당함 M Size 구매","4.8","","","300개 이상","814","85,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114970-87245","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2476685","세러데이 린넨 파자마 팬츠 [블랙]","[회원추천] (남자 180cm/72kg) 기준

                                적당함 M Size 구매","4.8","","","700개 이상","1,847","85,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115011-87895","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2596020","핀턱 타슬란 와이드 밴딩 팬츠 차콜","[회원추천] (여자 156cm/41kg) 기준

                                적당함 차콜 FREE Size 구매","4.7","","","500개 이상","1,949","48,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662114943-87189","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/1964327","플리츠 와이드 팬츠 [아이보리]","[회원추천] (남자 169cm/72kg) 기준

                                적당함 여름원단M Size 구매","4.7","","","400개 이상","1,193","49,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114919-86989","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2548072","유니섹스 원턱 와이드 밴딩 팬츠 IRB062 화이트","[회원추천] (남자 177cm/69kg) 기준

                                적당함 L Size 구매","4.8","","","400개 이상","952","69,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114919-86993","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2548072","유니섹스 원턱 와이드 밴딩 팬츠 IRB062 화이트","[회원추천] (남자 180cm/65kg) 기준

                                적당함 L Size 구매","4.8","","","400개 이상","952","69,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114797-85795","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/1985057","Wide Split Pants - Black (FL-218)","[회원추천] (여자 170cm/52kg) 기준

                                큼 Black 1 Size 구매","4.9","","","300개 이상","1,352","98,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114919-86978","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2548072","유니섹스 원턱 와이드 밴딩 팬츠 IRB062 화이트","[회원추천] (남자 174cm/60kg) 기준

                                큼 M Size 구매","4.8","","","400개 이상","952","69,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114970-87298","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2476685","세러데이 린넨 파자마 팬츠 [블랙]","[회원추천] (남자 174cm/65kg) 기준

                                적당함 M Size 구매","4.8","","","700개 이상","1,847","85,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114970-87302","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2476685","세러데이 린넨 파자마 팬츠 [블랙]","[회원추천] (남자 185cm/100kg) 기준

                                적당함 L Size 구매","4.8","","","700개 이상","1,847","85,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115023-88278","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/1964326","플리츠 와이드 팬츠 [블랙]","[회원추천] (남자 173cm/76kg) 기준

                                적당함 m Size 구매","4.7","","","2.2천 개 이상","3,534","49,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114992-87414","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2548075","유니섹스 원턱 와이드 밴딩 팬츠 IRB062 카키그레이","[회원추천] (남자 177cm/70kg) 기준

                                큼 L Size 구매","4.8","","","600개 이상","919","69,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114906-86900","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/1985060","Side Flap Pants - Black (FL-219)","[회원추천] (남자 178cm/64kg) 기준

                                적당함 Black 1 Size 구매","4.9","","","400개 이상","1,219","98,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115017-88045","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2548071","유니섹스 원턱 와이드 밴딩 팬츠 IRB062 블랙","[회원추천] (남자 179cm/78kg) 기준

                                적당함 L Size 구매","4.8","","","1.4천 개 이상","1,706","69,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114906-86872","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/1985060","Side Flap Pants - Black (FL-219)","[회원추천] (여자 163cm/52kg) 기준

                                큼 Black 1 Size 구매","4.9","","","400개 이상","1,219","98,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115017-88116","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2548071","유니섹스 원턱 와이드 밴딩 팬츠 IRB062 블랙","[회원추천] (남자 177cm/64kg) 기준

                                적당함 M Size 구매","4.8","","","1.4천 개 이상","1,706","69,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115017-88050","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2548071","유니섹스 원턱 와이드 밴딩 팬츠 IRB062 블랙","[회원추천] (남자 180cm/70kg) 기준

                                작음 L Size 구매","4.8","","","1.4천 개 이상","1,706","69,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115005-87685","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2003440","MULTI WIDE BANDING STRIPE PANTS","[회원추천] (남자 171cm/66kg) 기준

                                적당함 1 Size 구매","4.8","","","900개 이상","2,507","52,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114829-86095","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/1965301","[2장세트구성]플리츠 와이드핏 팬츠 3컬러","[회원추천] (남자 180cm/68kg) 기준

                                적당함 블랙 L Size 구매","4.8","","","700개 이상","1,523","98,000원","","","","","","","24~28세
,
남성
에게 인기 많은 상품","남"
"1662114872-86497","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2721988","22fw nylon m51 pants black","","null","","","","9","129,000원","","","","","","","","남"
"1662114943-87151","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/1964327","플리츠 와이드 팬츠 [아이보리]","[회원추천] (남자 166cm/70kg) 기준

                                적당함 m Size 구매","4.7","","","400개 이상","1,193","49,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114899-86688","https://www.musinsa.com/category/003006","","https://www.musinsa.com/app/goods/2559278","알앤 와이드 뒷밴딩 원턱 팬츠 - 샌드","[회원추천] (남자 171cm/61kg) 기준

                                적당함 샌드 1 size Size 구매","4.9","","","400개 이상","1,029","63,000원","","","","","","","24~28세
,
남성
에게 인기 많은 상품","남"
